Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
117,Houssem Aouar,dz ALG,"MF,FW",Roma,it Serie A,25-288,1998,14,7,635,7.1,3,0,3,3,0,0,3,0,1.9,1.9,0.4,2.4,16,24,47
118,Stredair Appuah,fr FRA,"FW,MF",Nantes,fr Ligue 1,19-291,2004,3,0,65,0.7,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,2,0,2
119,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,28-196,1995,7,3,339,3.8,0,0,0,0,0,0,2,0,0.5,0.5,0.0,0.6,2,20,6
120,Jon Aramburu,ve VEN,DF,Real Sociedad,es La Liga,21-265,2002,6,4,429,4.8,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,22,23
121,Julian Araujo,mx MEX,DF,Las Palmas,es La Liga,22-244,2001,22,13,1298,14.4,1,0,1,1,0,0,4,0,0.7,0.7,1.0,1.7,23,66,38
122,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,25-037,1999,21,18,1698,18.9,1,0,1,1,0,0,5,0,1.4,1.4,0.7,2.1,23,89,9
123,Oliver Arblaster,eng ENG,MF,Sheffield Utd,eng Premier League,19-344,2004,5,4,370,4.1,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.3,4,15,1
124,Cameron Archer,eng ENG,"FW,MF",Sheffield Utd,eng Premier League,22-267,2001,22,16,1453,16.1,4,1,5,4,0,0,1,0,3.9,3.9,2.3,6.2,27,12,83
125,Cameron Archer,eng ENG,MF,Aston Villa,eng Premier League,22-267,2001,1,0,6,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,0,0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
